15:00:22,472 DEBUG [Thread-3] (Server.java:228)   - rpcKind=RPC_PROTOCOL_BUFFER, rpcRequestWrapperClass=class org.apache.hadoop.ipc.ProtobufRpcEngine$RpcRequestWrapper, rpcInvoker=org.apache.hadoop.ipc.ProtobufRpcEngine$Server$ProtoBufRpcInvoker@115b92b3
15:00:22,476 DEBUG [Thread-3] (ClientCache.java:63)   - getting client out of cache: org.apache.hadoop.ipc.Client@331fef77
15:00:22,537  INFO [Thread-3] (WebAppProxy.java:79)   - Instantiating Proxy at localhost:9099
15:00:22,539 DEBUG [Thread-3] (AbstractService.java:320)   - Config has been overridden during init
15:00:22,539 DEBUG [Thread-3] (CompositeService.java:115)   - org.apache.hadoop.yarn.server.webproxy.WebAppProxyServer: starting services, size=1
15:00:22,552 DEBUG [Thread-3] (Slf4jLog.java:40)   - filterNameMap={NoCacheFilter=NoCacheFilter}
15:00:22,553 DEBUG [Thread-3] (Slf4jLog.java:40)   - pathFilters=[(F=NoCacheFilter,[/*],[],15)]
15:00:22,553 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletFilterMap=null
15:00:22,553 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletPathMap=null
15:00:22,553 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletNameMap=null
15:00:22,553 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container Server@50aff428 + org.mortbay.thread.QueuedThreadPool@9327927 as threadpool
15:00:22,555  INFO [Thread-3] (HttpRequestLog.java:80)   - Http request log for http.requests.proxy is not defined
15:00:22,555 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container Server@50aff428 + ContextHandlerCollection@76a0f9cb as handler
15:00:22,555 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ContextHandlerCollection@76a0f9cb + org.mortbay.jetty.webapp.WebAppContext@426fbb45{/,file:/home/gautier/hop/myhops/hops/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/target/classes/webapps/proxy} as handler
15:00:22,556 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@356fd116 + NoCacheFilter as filter
15:00:22,556 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@356fd116 + (F=NoCacheFilter,[/*],[],15) as filterMapping
15:00:22,556 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container SecurityHandler@400816c2 + ServletHandler@356fd116 as handler
15:00:22,556 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container SessionHandler@530e3b65 + SecurityHandler@400816c2 as handler
15:00:22,556 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container SessionHandler@530e3b65 + org.mortbay.jetty.servlet.HashSessionManager@4b5d8e7c as sessionManager
15:00:22,556 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container org.mortbay.jetty.webapp.WebAppContext@426fbb45{/,file:/home/gautier/hop/myhops/hops/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/target/classes/webapps/proxy} + SessionHandler@530e3b65 as handler
15:00:22,557 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container org.mortbay.jetty.webapp.WebAppContext@426fbb45{/,file:/home/gautier/hop/myhops/hops/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/target/classes/webapps/proxy} + ErrorPageErrorHandler@6b35958b as error
15:00:22,557 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ContextHandlerCollection@76a0f9cb + org.mortbay.jetty.servlet.Context@aed0faa{/static,null} as handler
15:00:22,557 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container org.mortbay.jetty.servlet.Context@aed0faa{/static,null} + ServletHandler@519f6780 as handler
15:00:22,559 DEBUG [Thread-3] (Slf4jLog.java:40)   - Checking Resource aliases
15:00:22,560 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@519f6780 + org.mortbay.jetty.servlet.DefaultServlet-900284401 as servlet
15:00:22,561 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@519f6780 + (S=org.mortbay.jetty.servlet.DefaultServlet-900284401,[/*]) as servletMapping
15:00:22,561 DEBUG [Thread-3] (Slf4jLog.java:40)   - filterNameMap=null
15:00:22,561 DEBUG [Thread-3] (Slf4jLog.java:40)   - pathFilters=null
15:00:22,561 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletFilterMap=null
15:00:22,561 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletPathMap={/*=org.mortbay.jetty.servlet.DefaultServlet-900284401}
15:00:22,561 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletNameMap={org.mortbay.jetty.servlet.DefaultServlet-900284401=org.mortbay.jetty.servlet.DefaultServlet-900284401}
15:00:22,562 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@356fd116 + safety as filter
15:00:22,562 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@356fd116 + (F=safety,[/*],[],15) as filterMapping
15:00:22,562 DEBUG [Thread-3] (Slf4jLog.java:40)   - filterNameMap={safety=safety, NoCacheFilter=NoCacheFilter}
15:00:22,562 DEBUG [Thread-3] (Slf4jLog.java:40)   - pathFilters=[(F=NoCacheFilter,[/*],[],15), (F=safety,[/*],[],15)]
15:00:22,562 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletFilterMap=null
15:00:22,563 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletPathMap=null
15:00:22,563 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletNameMap=null
15:00:22,563 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@519f6780 + safety as filter
15:00:22,563 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@519f6780 + (F=safety,[/*],[],15) as filterMapping
15:00:22,563 DEBUG [Thread-3] (Slf4jLog.java:40)   - filterNameMap={safety=safety}
15:00:22,563 DEBUG [Thread-3] (Slf4jLog.java:40)   - pathFilters=[(F=safety,[/*],[],15)]
15:00:22,564 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletFilterMap=null
15:00:22,564 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletPathMap={/*=org.mortbay.jetty.servlet.DefaultServlet-900284401}
15:00:22,564 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletNameMap={org.mortbay.jetty.servlet.DefaultServlet-900284401=org.mortbay.jetty.servlet.DefaultServlet-900284401}
15:00:22,564  INFO [Thread-3] (HttpServer2.java:667)   - Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
15:00:22,565 DEBUG [Thread-3] (Configuration.java:953)   - conf set bind.address value localhost
15:00:22,565 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@356fd116 + static_user_filter as filter
15:00:22,566 DEBUG [Thread-3] (Slf4jLog.java:40)   - Container ServletHandler@356fd116 + (F=static_user_filter,[*.html, *.jsp],[],15) as filterMapping
15:00:22,566 DEBUG [Thread-3] (Slf4jLog.java:40)   - filterNameMap={safety=safety, NoCacheFilter=NoCacheFilter, static_user_filter=static_user_filter}
15:00:22,566 DEBUG [Thread-3] (Slf4jLog.java:40)   - pathFilters=[(F=NoCacheFilter,[/*],[],15), (F=safety,[/*],[],15), (F=static_user_filter,[*.html, *.jsp],[],15)]
15:00:22,566 DEBUG [Thread-3] (Slf4jLog.java:40)   - servletFilterMap=null
